年,月,日, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉
2018,8,1,7,13.3,7.25,14.4,14.34
2018,8,2,7,13.3,7.25,14.4,14.32
2018,8,3,6.95,13.3,7.4,14.4,14.32
2018,8,4,,,,,
2018,8,5,,,,,
2018,8,6,6.95,13.3,7.4,14.4,14.32
2018,8,7,6.95,13.3,7.42,14.4,14.32
2018,8,8,6.95,13.3,7.42,14.4,14.32
2018,8,9,6.9,13.3,7.42,14.4,14.3
2018,8,10,6.87,13.3,7.42,14.4,14.28
2018,8,11,,,,,
2018,8,12,,,,,
2018,8,13,6.8,13.2,7.4,14.3,14.15
2018,8,14,6.75,13.2,7.35,14.3,14.2
2018,8,15,6.75,13.2,7.35,14.3,14.2
2018,8,16,6.75,13.2,7.32,14.3,14.2
2018,8,17,6.8,13.2,7.32,14.3,14.3
2018,8,18,,,,,
2018,8,19,,,,,
2018,8,20,6.85,13.25,7.3,14.35,14.25
2018,8,21,6.85,13.25,7.34,14.35,14.2
2018,8,22,6.85,13.2,7.34,14.3,14.18
2018,8,23,6.8,13.2,7.33,14.3,14.18
2018,8,24,,,,,14.18
2018,8,25,,,,,
2018,8,26,,,,,
2018,8,27,6.75,13.1,7.33,14.2,14.15
2018,8,28,6.7,13.1,7.33,14.2,14.15
2018,8,29,6.7,13.1,7.33,14.2,14.13
2018,8,30,6.7,13.1,7.28,14.2,14.08
2018,8,31,6.7,13.1,7.28,14.2,14.07
2018,9,1,,,,,
2018,9,2,,,,,
2018,9,3,6.75,13.1,7.28,14.2,14.04
2018,9,4,6.78,13.1,7.28,14.2,14.04
2018,9,5,6.8,13.05,7.3,14.15,14
2018,9,6,6.8,13,7.32,14.1,14
2018,9,7,6.8,13,7.32,14.1,14
2018,9,8,,,,,
2018,9,9,,,,,
2018,9,10,6.8,13,7.32,14.1,13.95
2018,9,11,6.8,13,7.32,14.1,13.95
2018,9,12,6.78,12.95,7.32,14.05,13.92
2018,9,13,6.75,12.95,7.3,14.05,13.95
2018,9,14,6.73,12.9,7.27,14,13.92
2018,9,15,,,,,
2018,9,16,,,,,
2018,9,17,6.7,12.85,7.25,13.95,13.87
2018,9,18,6.68,12.85,7.23,13.95,13.87
2018,9,19,6.65,12.85,7.23,13.95,13.85
2018,9,20,6.65,12.85,7.2,13.95,13.82
2018,9,21,6.68,12.85,7.2,13.95,13.85
2018,9,22,,,,,
2018,9,23,,,,,
2018,9,24,,,,,
2018,9,25,6.75,12.8,7.2,13.9,13.77
2018,9,26,6.75,12.8,7.23,13.9,13.77
2018,9,27,6.75,12.8,7.25,13.9,13.77
2018,9,28,6.78,12.8,7.25,13.9,13.77
2018,9,29,,,,,
2018,9,30,,,,,
2018,10,1,6.75,12.75,7.2,13.85,13.73
2018,10,2,6.78,12.75,7.25,13.85,13.73
2018,10,3,6.78,12.75,7.25,13.85,13.75
2018,10,4,6.78,12.75,7.25,13.85,13.71
2018,10,5,6.78,12.75,7.25,13.85,13.71
2018,10,6,,,,,
2018,10,7,,,,,
